YEAR,MONTH,AIRPORT,FLIGHTS,STRIKES,WND_ANG_MEAN,WND_SPD_MEAN,CIG_MEAN,VIS_MEAN,TMP_MEAN,DEW_MEAN,SLP_MEAN
2018,9,DAL,11362,15,192.31,2.95,7630.47,15663.87,24.75,20.75,1014.32
2018,9,DEN,47573,71,179.09,4.34,17871.77,16056.32,15.54,3.92,1011.77
2018,9,DFW,50218,29,102.14,3.79,8397.67,14324.79,22.06,18.78,1014.69
2018,9,DTW,30854,43,133.41,3.39,12201.42,11109.74,18.77,14.83,1020.57
2018,9,FLL,20141,19,112.86,3.22,16188.79,16093.0,27.26,25.23,1014.91
2018,9,IAH,34796,12,158.89,2.28,11828.0,14215.5,26.38,23.84,1013.79
2018,9,JFK,36368,17,115.29,4.39,7528.79,14840.47,21.79,17.29,1021.8
2018,9,LAX,52232,16,224.62,2.64,10291.85,12703.06,19.33,16.36,1011.74
2018,9,MCI,9348,35,139.7,4.54,9947.33,13817.24,18.57,15.14,1017.07
2018,9,MCO,23354,15,107.5,3.54,16058.71,16086.8,28.0,23.45,1016.41
2018,9,MEM,4332,35,113.57,2.82,11457.52,15563.71,23.27,18.57,1016.48
2018,9,ORD,72710,63,173.89,3.74,14420.89,15464.89,19.77,14.75,1017.82
2018,9,RSW,3279,16,91.33,2.84,22000.0,16093.0,26.21,24.11,1017.62
2018,9,SDF,4458,51,200.82,2.79,11653.4,16085.71,23.36,17.33,1017.32
2018,9,SEA,34635,12,153.64,2.59,9187.5,16046.5,14.62,9.49,1018.16
2018,9,SLC,20030,48,191.84,3.28,21082.9,15817.52,19.88,1.99,1010.43
2018,9,TEB,75,22,187.22,2.69,12218.91,13679.05,20.33,16.88,1020.72
2018,9,TPA,11473,27,134.76,2.64,17340.52,15770.89,29.79,23.38,1016.23
2018,10,ATL,72594,34,242.73,3.44,18125.48,15149.38,19.88,13.33,1017.85
2018,10,AUS,11552,19,230.67,2.95,6842.07,13786.63,17.79,14.07,1017.77
2018,10,CLT,44331,27,223.18,2.68,15270.25,14872.7,18.7,12.22,1016.13
2018,10,CVG,9344,14,152.31,3.21,13673.73,15829.93,15.91,11.44,1019.62
2018,10,DAL,12027,16,105.0,3.54,10252.19,16093.0,20.27,15.01,1018.84
2018,10,DEN,49548,32,191.33,4.3,15659.4,15647.12,8.72,-0.96,1016.14
2018,10,DFW,52379,51,195.0,4.1,12775.82,14554.12,17.17,13.59,1016.99
2018,10,DTW,32296,30,176.8,2.82,11970.93,12184.07,10.77,6.83,1019.05
2018,10,FLL,21305,20,163.0,4.38,13755.1,16093.0,28.08,25.3,1013.4
2018,10,IAH,36564,15,170.83,2.98,11668.8,13377.8,20.92,18.09,1016.06
2018,10,JFK,36593,66,267.97,5.36,16425.31,15881.03,10.35,3.96,1018.93
2018,10,LAX,53415,26,162.78,2.07,13803.29,12734.85,18.43,12.55,1013.45
2018,10,MCI,10061,38,143.24,3.46,9299.59,12049.32,12.13,10.09,1018.86
2018,10,MCO,25785,19,144.44,4.26,19518.62,16063.63,26.98,19.5,1015.88
2018,10,MEM,4679,36,194.86,3.11,16603.0,15692.36,18.64,13.75,1015.72
2018,10,ORD,76616,41,242.82,4.11,16606.73,14844.12,7.16,2.13,1019.73
2018,10,RSW,4258,4,50.0,1.02,16782.0,16093.0,24.3,22.62,1012.75
2018,10,SDF,4964,24,226.67,3.78,11974.32,16077.5,17.32,11.0,1021.03
2018,10,SEA,34148,10,210.0,1.71,13006.86,11126.8,13.21,7.34,1021.04
2018,10,SLC,20780,26,240.0,4.5,9966.41,16053.65,7.67,0.55,1014.24
2018,10,TEB,23,27,234.35,3.88,11969.7,14155.89,12.93,7.25,1018.5
2018,10,TPA,12712,10,95.71,2.44,19694.44,16055.8,26.33,19.85,1017.29
2018,11,ATL,68433,25,213.04,4.15,9623.24,12127.88,8.04,3.32,1019.98
2018,11,AUS,10799,10,180.0,4.77,9130.12,14948.0,18.11,11.17,1015.0
2018,11,CLT,42387,16,222.0,3.31,17758.93,15684.94,10.11,2.37,1019.12
2018,11,CVG,8450,7,120.0,3.14,3179.67,11370.71,3.57,0.63,1022.53
2018,11,DAL,11478,9,232.5,4.7,18973.78,16093.0,11.01,4.92,1015.8
2018,11,DEN,45834,5,162.0,5.14,9586.4,16074.4,3.44,-6.1,1017.7
2018,11,DFW,50755,26,225.2,5.19,13757.35,16035.77,8.81,2.73,1017.54
2018,11,DTW,29993,3,260.0,4.97,914.5,10640.33,7.23,2.43,1021.65
2018,11,FLL,22580,11,156.0,3.14,12604.64,16093.0,23.7,20.41,1016.61
2018,11,IAH,36082,8,152.86,3.66,5813.25,13477.88,14.81,9.93,1022.08
2018,11,JFK,33842,29,184.81,4.69,17712.4,15613.14,6.18,-0.36,1025.36
2018,11,LAX,50681,14,156.0,2.35,17559.12,14454.14,16.59,10.73,1015.11
2018,11,MCI,9036,5,266.0,3.0,9924.0,12934.0,2.32,-3.12,1019.64
2018,11,MCO,26607,5,236.0,4.3,12317.4,16093.0,16.78,10.2,1020.2
2018,11,MEM,4509,20,225.88,3.98,10709.0,14783.95,8.88,5.55,1020.18
2018,11,ORD,69155,7,242.86,4.57,3145.6,13767.43,1.04,-3.01,1020.36
2018,11,RSW,5776,4,142.5,2.58,16881.0,16093.0,22.92,20.85,1016.42
2018,11,SDF,4583,5,167.5,3.6,579.0,10598.25,3.05,-0.98,1023.0
2018,11,SEA,32217,11,141.0,4.74,3877.0,15043.64,9.4,6.33,1012.74
2018,11,SLC,19366,7,223.33,4.0,11792.33,16066.43,2.56,-4.4,1024.08
2018,11,TEB,16,7,272.0,2.43,19292.57,16093.0,8.61,-1.81,1027.33
2018,11,TPA,13556,8,151.67,2.81,17648.0,14123.25,18.84,15.2,1017.64
2018,12,ATL,69325,10,307.0,4.79,17105.11,16055.8,5.94,-2.71,1021.54
2018,12,AUS,10604,6,70.0,1.98,12219.25,16046.5,10.0,1.1,1020.83
2018,12,CLT,41053,8,62.5,1.1,16292.33,14905.88,5.06,0.01,1019.3
2018,12,CVG,8186,7,227.14,3.74,6345.75,13363.43,-0.07,-3.19,1020.3
2018,12,DAL,11478,7,161.43,2.81,16859.43,15173.43,2.14,-0.49,1025.09
2018,12,DEN,46681,6,245.0,3.02,22000.0,16046.5,-1.5,-10.65,1017.32
2018,12,DFW,51090,8,295.0,4.96,18786.0,16023.25,6.24,-1.02,1018.14
2018,12,DTW,29908,3,263.33,3.6,,13666.67,-1.67,-6.1,1023.77
2018,12,FLL,24620,10,203.0,3.65,14035.1,16093.0,21.6,18.27,1018.82
2018,12,IAH,37249,6,66.67,4.45,16216.0,16093.0,14.8,6.12,1020.2
2018,12,JFK,36114,9,240.0,6.11,8044.5,10036.22,5.82,3.28,1018.13
2018,12,LAX,52919,15,126.92,2.27,15100.0,15176.87,14.55,6.52,1018.2
2018,12,MCI,9416,2,185.0,3.35,1189.0,10414.0,0.0,-2.25,1013.3
2018,12,MCO,28998,5,197.5,2.98,9476.0,12130.2,15.44,13.44,1019.44
2018,12,MEM,4538,7,284.0,1.33,7467.5,15026.57,4.46,1.66,1022.61
2018,12,ORD,72518,4,296.67,2.98,13034.5,13296.5,-2.78,-4.72,1016.98
2018,12,RSW,7238,2,185.0,8.25,22000.0,16093.0,23.55,20.6,1005.4
2018,12,SDF,4543,1,330.0,4.6,,16000.0,2.2,-2.2,1022.7
2018,12,SEA,33509,6,140.0,3.12,22000.0,14377.5,5.0,2.03,1019.88
2018,12,SLC,20514,4,230.0,1.92,8288.33,11925.75,-2.48,-4.25,1021.53
2018,12,TPA,14851,12,228.33,4.08,12828.75,14797.67,17.22,12.82,1017.66
2019,1,ATL,68530,7,223.33,2.89,18880.2,16026.57,3.33,-2.71,1024.59
2019,1,AUS,10202,7,283.33,1.97,12498.5,14112.29,8.99,3.41,1021.27
2019,1,CLT,42988,2,145.0,3.6,11259.0,16093.0,8.6,-3.65,1021.1
2019,1,CVG,7923,5,248.0,2.78,802.33,13481.0,-0.32,-2.78,1019.53
2019,1,DAL,12364,1,300.0,1.5,22000.0,12875.0,0.6,-1.1,1022.2
2019,1,DEN,45757,3,175.0,1.73,12524.0,16031.0,-5.37,-11.63,1014.53
2019,1,DFW,52082,11,231.82,4.86,6313.17,14299.36,4.05,1.01,1018.72
2019,1,DTW,28841,1,340.0,1.5,22000.0,14484.0,-8.3,-11.7,1028.5
2019,1,FLL,24486,5,340.0,1.56,9738.8,16093.0,17.62,15.48,1020.6
2019,1,IAH,36754,5,166.0,5.02,12905.0,16074.4,8.2,-1.22,1023.72
2019,1,JFK,34756,9,105.56,4.12,11109.29,15152.44,-0.42,-6.41,1024.66
